epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0645,1.49816,3.05302,1.44671,0.38359,0.32966,0.30583,0.16253,1.54432,2.24291,1.4639,0.000332121,0.000332121,0.000332121
2,96.2375,1.57003,2.41722,1.48869,0.38348,0.36277,0.30291,0.15738,1.61927,2.28846,1.55231,0.000658867,0.000658867,0.000658867
3,138.849,1.60544,2.29293,1.5154,0.49956,0.33667,0.33859,0.17099,1.74159,2.37415,1.62945,0.000979012,0.000979012,0.000979012
4,180.37,1.61796,2.19167,1.53557,0.41126,0.36382,0.32918,0.1743,1.68383,2.12924,1.61667,0.0009703,0.0009703,0.0009703
5,221.989,1.57001,2.04653,1.50597,0.5109,0.3906,0.39239,0.20853,1.65351,2.02597,1.59588,0.0009604,0.0009604,0.0009604
6,263.906,1.53424,1.94088,1.48661,0.55439,0.37196,0.38939,0.21562,1.61774,2.03806,1.53304,0.0009505,0.0009505,0.0009505
7,305.98,1.49378,1.86579,1.46112,0.53768,0.43724,0.44002,0.25105,1.51632,1.8369,1.47145,0.0009406,0.0009406,0.0009406
8,348.332,1.47048,1.79892,1.44338,0.4909,0.50318,0.46487,0.25304,1.55979,1.82563,1.52364,0.0009307,0.0009307,0.0009307
9,390.366,1.46668,1.76768,1.4346,0.53785,0.46016,0.48101,0.27208,1.53895,1.7733,1.50768,0.0009208,0.0009208,0.0009208
10,643.033,1.44458,1.71997,1.41228,0.5448,0.47492,0.48325,0.27026,1.5342,1.77064,1.47596,0.0009109,0.0009109,0.0009109
11,684.521,1.42448,1.66363,1.39744,0.53051,0.53582,0.5232,0.29398,1.49164,1.63258,1.46851,0.000901,0.000901,0.000901
12,726.036,1.41231,1.64358,1.39736,0.54285,0.52959,0.50261,0.28437,1.49289,1.69732,1.44886,0.0008911,0.0008911,0.0008911
13,768.533,1.39384,1.59351,1.38539,0.59468,0.49122,0.53619,0.30283,1.48718,1.60549,1.46042,0.0008812,0.0008812,0.0008812
14,811.505,1.37611,1.57965,1.36789,0.58747,0.54826,0.53745,0.31272,1.42864,1.56318,1.41279,0.0008713,0.0008713,0.0008713
15,853.322,1.36191,1.54715,1.35492,0.60695,0.53404,0.54457,0.31308,1.4471,1.54662,1.41227,0.0008614,0.0008614,0.0008614
16,895.691,1.35672,1.525,1.34746,0.65448,0.56653,0.5922,0.3392,1.42836,1.51861,1.40521,0.0008515,0.0008515,0.0008515
17,936.905,1.33662,1.48666,1.33881,0.5814,0.57152,0.58575,0.34784,1.42572,1.47898,1.39323,0.0008416,0.0008416,0.0008416
18,978.537,1.33088,1.47294,1.33167,0.67725,0.53652,0.57642,0.34202,1.42469,1.48744,1.40241,0.0008317,0.0008317,0.0008317
19,1020.6,1.32877,1.46743,1.32729,0.6641,0.57681,0.6023,0.35338,1.4073,1.42043,1.37809,0.0008218,0.0008218,0.0008218
20,1062.86,1.31846,1.43392,1.31627,0.61559,0.55155,0.55951,0.33771,1.41217,1.4903,1.37526,0.0008119,0.0008119,0.0008119
